team,region,opp_region,seed,first4,winrate
auburn,south,east,1,0,0.8490000000
alabama_st,south,east,16,1,0.5460000000
st_francis_pa,south,east,16,1,0.4330000000
louisville,south,east,8,0,0.7940000000
creighton,south,east,9,0,0.7060000000
michigan,south,east,5,0,0.7350000000
uc_san_diego,south,east,12,0,0.8750000000
texas_a_m,south,east,4,0,0.6880000000
yale,south,east,13,0,0.7500000000
ole_miss,south,east,6,0,0.6670000000
north_carolina,south,east,11,1,0.6290000000
san_diego_st,south,east,11,1,0.6900000000
iowa_st,south,east,3,0,0.7270000000
lipscomb,south,east,14,0,0.7190000000
marquette,south,east,7,0,0.6970000000
new_mexico,south,east,10,0,0.7810000000
michigan_st,south,east,2,0,0.8180000000
bryant,south,east,15,0,0.6560000000
duke,east,south,1,0,0.9120000000
mt_st_marys,east,south,16,1,0.6360000000
american,east,south,16,1,0.6250000000
mississippi_st,east,south,8,0,0.6360000000
baylor,east,south,9,0,0.5630000000
oregon,east,south,5,0,0.7270000000
liberty,east,south,12,0,0.8070000000
arizona,east,south,4,0,0.6470000000
akron,east,south,13,0,0.8130000000
byu,east,south,6,0,0.7270000000
vcu,east,south,11,0,0.8180000000
wisconsin,east,south,3,0,0.7430000000
montana,east,south,14,0,0.7100000000
saint_marys,east,south,7,0,0.8440000000
vanderbilt,east,south,10,0,0.6250000000
alabama,east,south,2,0,0.7580000000
robert_morris,east,south,15,0,0.7580000000
florida,west,midwest,1,0,0.8820000000
norfolk_st,west,midwest,16,0,0.6770000000
uconn,west,midwest,8,0,0.6970000000
oklahoma,west,midwest,9,0,0.6060000000
memphis,west,midwest,5,0,0.8530000000
colorado_st,west,midwest,12,0,0.7350000000
maryland,west,midwest,4,0,0.7580000000
grand_canyon,west,midwest,13,0,0.7810000000
missouri,west,midwest,6,0,0.6670000000
drake,west,midwest,11,0,0.9030000000
texas_tech,west,midwest,3,0,0.7580000000
unc_wilmington,west,midwest,14,0,0.7810000000
kansas,west,midwest,7,0,0.6360000000
arkansas,west,midwest,10,0,0.6060000000
st_johns,west,midwest,2,0,0.8820000000
omaha,west,midwest,15,0,0.6250000000
houston,midwest,west,1,0,0.8820000000
siu_edwardsville,midwest,west,16,0,0.6330000000
gonzaga,midwest,west,8,0,0.7580000000
georgia,midwest,west,9,0,0.6250000000
clemson,midwest,west,5,0,0.8180000000
mcneese,midwest,west,12,0,0.8070000000
purdue,midwest,west,4,0,0.6670000000
high_point,midwest,west,13,0,0.8440000000
illinois,midwest,west,6,0,0.6360000000
xavier,midwest,west,11,1,0.6560000000
texas,midwest,west,11,1,0.5590000000
kentucky,midwest,west,3,0,0.6670000000
troy,midwest,west,14,0,0.6770000000
ucla,midwest,west,7,0,0.6880000000
utah_st,midwest,west,10,0,0.7810000000
tennessee,midwest,west,2,0,0.7940000000
wofford,midwest,west,15,0,0.5310000000
